tradeDate,open,close,high,low,amount,volume,turnoverRate,changePct
2024-09-27,6.52,6.51,6.6,6.4,0.0,51709.0,0.0,0.0
2024-09-30,6.73,7.02,7.11,6.63,0.0,131305.0,0.0,0.0
2024-10-08,7.76,7.28,7.76,7.02,0.0,146077.0,0.0,0.0
2024-10-09,7.11,6.66,7.18,6.65,0.0,97975.0,0.0,0.0
2024-10-10,6.73,6.83,7.02,6.73,0.0,91404.0,0.0,0.0
2024-10-11,6.85,6.8,6.9,6.7,0.0,47649.0,0.0,0.0
2024-10-14,6.87,6.87,6.95,6.72,0.0,40035.0,0.0,0.0
2024-10-15,6.85,6.83,7.05,6.81,0.0,50159.0,0.0,0.0
2024-10-16,6.76,6.91,7.0,6.75,0.0,32260.0,0.0,0.0
2024-10-17,6.99,6.77,7.09,6.77,0.0,49155.0,0.0,0.0
2024-10-18,6.74,6.79,6.92,6.7,0.0,42951.0,0.0,0.0
2024-10-21,6.86,6.98,7.06,6.78,0.0,69685.0,0.0,0.0
2024-10-22,6.98,7.04,7.12,6.91,0.0,46127.0,0.0,0.0
2024-10-23,7.0,7.01,7.1,6.96,0.0,30825.0,0.0,0.0
2024-10-24,7.02,7.03,7.04,6.91,0.0,30438.0,0.0,0.0
2024-10-25,7.01,7.1,7.19,7.0,0.0,38222.0,0.0,0.0
2024-10-28,7.1,7.21,7.21,7.1,0.0,40714.0,0.0,0.0
2024-10-29,7.21,7.06,7.26,7.03,0.0,40484.0,0.0,0.0
2024-10-30,6.95,6.95,7.09,6.85,0.0,38213.0,0.0,0.0
2024-10-31,6.92,6.89,7.02,6.87,0.0,39144.0,0.0,0.0
2024-11-01,6.95,6.78,6.98,6.69,0.0,49320.0,0.0,0.0
2024-11-04,6.78,6.83,6.84,6.7,0.0,36386.0,0.0,0.0
2024-11-05,6.85,6.92,6.94,6.81,0.0,37981.0,0.0,0.0
2024-11-06,6.97,7.14,7.29,6.86,0.0,67282.0,0.0,0.0
2024-11-07,7.12,7.31,7.34,7.01,0.0,60444.0,0.0,0.0
2024-11-08,7.37,7.2,7.4,7.12,0.0,48614.0,0.0,0.0
2024-11-11,7.11,7.12,7.24,7.02,0.0,44663.0,0.0,0.0
2024-11-12,7.12,7.0,7.18,6.96,0.0,62674.0,0.0,0.0
2024-11-13,7.04,7.22,7.36,6.89,0.0,85386.0,0.0,0.0
2024-11-14,7.22,7.13,7.41,7.13,0.0,67448.0,0.0,0.0
2024-11-15,7.17,7.0,7.25,6.99,0.0,49010.0,0.0,0.0
2024-11-18,7.13,7.2,7.4,7.1,0.0,83811.0,0.0,0.0
2024-11-19,7.22,7.29,7.31,7.08,0.0,61705.0,0.0,0.0
2024-11-20,7.29,7.3,7.35,7.21,0.0,53942.0,0.0,0.0
2024-11-21,7.24,7.19,7.31,7.12,0.0,61817.0,0.0,0.0
2024-11-22,7.18,6.92,7.25,6.9,0.0,60088.0,0.0,0.0
2024-11-25,6.97,7.02,7.04,6.83,0.0,36290.0,0.0,0.0
2024-11-26,7.06,7.06,7.15,7.01,0.0,43575.0,0.0,0.0
2024-11-27,7.08,7.24,7.26,6.91,0.0,51558.0,0.0,0.0
2024-11-28,7.24,7.45,7.47,7.21,0.0,74802.0,0.0,0.0
2024-11-29,7.37,7.61,7.7,7.35,0.0,104202.0,0.0,0.0
2024-12-02,7.62,8.17,8.22,7.62,0.0,159065.0,0.0,0.0
2024-12-03,8.17,8.34,8.5,8.08,0.0,151831.0,0.0,0.0
2024-12-04,8.26,8.01,8.27,7.97,0.0,68086.0,0.0,0.0
2024-12-05,8.0,8.03,8.06,7.91,0.0,49894.0,0.0,0.0
2024-12-06,8.01,8.22,8.33,7.96,0.0,52307.0,0.0,0.0
2024-12-09,8.38,8.25,8.56,8.14,0.0,71448.0,0.0,0.0
