tradeDate,open,close,high,low,amount,volume,turnoverRate,changePct
2024-09-27,4.68,4.74,4.78,4.64,0.0,302257.0,0.0,0.0
2024-09-30,4.97,5.07,5.15,4.8,0.0,633423.0,0.0,0.0
2024-10-08,5.51,5.15,5.51,4.94,0.0,683246.0,0.0,0.0
2024-10-09,5.04,4.63,5.04,4.63,0.0,435198.0,0.0,0.0
2024-10-10,4.73,4.7,4.83,4.59,0.0,240181.0,0.0,0.0
2024-10-11,4.7,4.76,4.84,4.65,0.0,200390.0,0.0,0.0
2024-10-14,5.03,5.14,5.22,4.94,0.0,631475.0,0.0,0.0
2024-10-15,4.98,4.91,5.15,4.88,0.0,434182.0,0.0,0.0
2024-10-16,4.91,4.98,5.05,4.86,0.0,325551.0,0.0,0.0
2024-10-17,5.01,4.74,5.03,4.73,0.0,351430.0,0.0,0.0
2024-10-18,4.72,4.79,4.84,4.68,0.0,252178.0,0.0,0.0
2024-10-21,4.82,4.73,4.82,4.69,0.0,221132.0,0.0,0.0
2024-10-22,4.73,4.9,4.93,4.71,0.0,291519.0,0.0,0.0
2024-10-23,4.9,5.12,5.35,4.83,0.0,508887.0,0.0,0.0
2024-10-24,5.1,5.0,5.15,4.96,0.0,257556.0,0.0,0.0
2024-10-25,5.01,5.12,5.15,5.01,0.0,284093.0,0.0,0.0
2024-10-28,5.1,5.2,5.21,5.08,0.0,272250.0,0.0,0.0
2024-10-29,5.22,5.27,5.54,5.14,0.0,609245.0,0.0,0.0
2024-10-30,5.22,5.8,5.8,5.19,0.0,586293.0,0.0,0.0
2024-10-31,6.09,5.94,6.38,5.83,0.0,1464847.0,0.0,0.0
2024-11-01,5.97,5.77,6.18,5.53,0.0,891168.0,0.0,0.0
2024-11-04,5.73,5.83,5.96,5.69,0.0,563686.0,0.0,0.0
2024-11-05,5.78,6.42,6.42,5.76,0.0,475859.0,0.0,0.0
2024-11-06,6.58,6.61,6.77,6.3,0.0,1268926.0,0.0,0.0
2024-11-07,6.42,6.9,7.15,6.34,0.0,1023749.0,0.0,0.0
2024-11-08,6.79,6.62,6.95,6.48,0.0,934392.0,0.0,0.0
2024-11-11,6.7,6.35,6.73,6.33,0.0,716498.0,0.0,0.0
2024-11-12,6.34,6.32,6.47,6.26,0.0,485791.0,0.0,0.0
2024-11-13,6.32,6.4,6.46,6.19,0.0,421761.0,0.0,0.0
2024-11-14,6.41,6.3,6.53,6.29,0.0,361819.0,0.0,0.0
2024-11-15,6.33,6.43,6.63,6.27,0.0,526746.0,0.0,0.0
2024-11-18,6.38,6.05,6.44,6.02,0.0,383663.0,0.0,0.0
2024-11-19,6.07,6.14,6.17,5.99,0.0,234249.0,0.0,0.0
2024-11-20,6.11,6.15,6.17,6.04,0.0,207345.0,0.0,0.0
2024-11-21,6.12,6.16,6.33,6.09,0.0,224705.0,0.0,0.0
2024-11-22,6.14,6.0,6.3,6.0,0.0,303352.0,0.0,0.0
2024-11-25,6.0,5.98,6.07,5.87,0.0,228672.0,0.0,0.0
2024-11-26,5.97,6.01,6.13,5.93,0.0,176163.0,0.0,0.0
2024-11-27,6.02,6.08,6.09,5.85,0.0,170437.0,0.0,0.0
2024-11-28,6.09,6.46,6.69,6.08,0.0,955101.0,0.0,0.0
2024-11-29,6.33,6.46,6.58,6.33,0.0,532927.0,0.0,0.0
2024-12-02,6.84,7.11,7.11,6.78,0.0,372504.0,0.0,0.0
2024-12-03,7.82,7.15,7.82,7.1,0.0,1359487.0,0.0,0.0
2024-12-04,6.91,7.07,7.45,6.84,0.0,786080.0,0.0,0.0
2024-12-05,6.89,6.92,7.24,6.79,0.0,623097.0,0.0,0.0
2024-12-06,6.86,6.74,6.98,6.7,0.0,502924.0,0.0,0.0
2024-12-09,6.73,6.68,6.81,6.59,0.0,332650.0,0.0,0.0
2024-12-10,6.87,6.66,6.94,6.64,0.0,372544.0,0.0,0.0
2024-12-11,6.61,7.05,7.08,6.6,0.0,628762.0,0.0,0.0
