tradeDate,open,close,high,low,amount,volume,turnoverRate,changePct
2024-09-27,7.78,8.19,8.28,7.65,0.0,739438.0,0.0,0.0
2024-09-30,8.47,8.99,8.99,7.99,0.0,812808.0,0.0,0.0
2024-10-08,9.8,8.79,9.8,8.37,0.0,887288.0,0.0,0.0
2024-10-09,8.41,7.91,8.43,7.91,0.0,361935.0,0.0,0.0
2024-10-10,7.8,8.11,8.4,7.36,0.0,416553.0,0.0,0.0
2024-10-11,7.82,7.56,7.99,7.5,0.0,225115.0,0.0,0.0
2024-10-14,7.49,7.59,7.65,7.37,0.0,184935.0,0.0,0.0
2024-10-15,7.53,7.46,7.65,7.42,0.0,154003.0,0.0,0.0
2024-10-16,7.31,7.42,7.52,7.28,0.0,129837.0,0.0,0.0
2024-10-17,7.47,7.48,7.62,7.45,0.0,175534.0,0.0,0.0
2024-10-18,7.44,7.56,7.67,7.36,0.0,218638.0,0.0,0.0
2024-10-21,7.48,7.72,7.79,7.45,0.0,272933.0,0.0,0.0
2024-10-22,7.71,7.93,7.93,7.61,0.0,319715.0,0.0,0.0
2024-10-23,7.97,7.85,8.08,7.83,0.0,278014.0,0.0,0.0
2024-10-24,7.77,7.89,8.0,7.7,0.0,218381.0,0.0,0.0
2024-10-25,7.85,8.02,8.09,7.82,0.0,265202.0,0.0,0.0
2024-10-28,8.02,8.3,8.43,8.01,0.0,350203.0,0.0,0.0
2024-10-29,8.38,9.13,9.13,8.21,0.0,704779.0,0.0,0.0
2024-10-30,9.13,9.0,9.49,8.79,0.0,919194.0,0.0,0.0
2024-10-31,8.82,8.99,9.16,8.62,0.0,602702.0,0.0,0.0
2024-11-01,8.88,9.08,9.76,8.63,0.0,749317.0,0.0,0.0
2024-11-04,8.83,9.36,9.45,8.52,0.0,656429.0,0.0,0.0
2024-11-05,9.12,9.26,9.43,9.11,0.0,601398.0,0.0,0.0
2024-11-06,9.15,9.65,9.76,9.01,0.0,781762.0,0.0,0.0
2024-11-07,9.75,10.62,10.62,9.52,0.0,599816.0,0.0,0.0
2024-11-08,11.27,10.67,11.68,10.66,0.0,1433122.0,0.0,0.0
2024-11-11,10.05,10.33,10.49,10.05,0.0,613328.0,0.0,0.0
2024-11-12,10.2,10.55,10.78,10.2,0.0,494330.0,0.0,0.0
2024-11-13,10.6,10.1,10.84,9.9,0.0,389633.0,0.0,0.0
2024-11-14,9.95,9.44,9.99,9.42,0.0,373742.0,0.0,0.0
2024-11-15,9.25,9.21,9.65,9.21,0.0,278503.0,0.0,0.0
2024-11-18,9.21,8.86,9.34,8.8,0.0,277754.0,0.0,0.0
2024-11-19,8.86,8.95,8.95,8.7,0.0,195001.0,0.0,0.0
2024-11-20,8.98,9.18,9.23,8.91,0.0,234403.0,0.0,0.0
2024-11-21,9.15,9.33,9.58,9.09,0.0,352455.0,0.0,0.0
2024-11-22,9.26,8.78,9.35,8.75,0.0,296826.0,0.0,0.0
2024-11-25,8.75,9.0,9.11,8.74,0.0,236984.0,0.0,0.0
2024-11-26,8.91,9.9,9.9,8.84,0.0,660319.0,0.0,0.0
2024-11-27,9.8,10.1,10.46,9.53,0.0,805429.0,0.0,0.0
2024-11-28,9.91,10.26,10.76,9.8,0.0,688218.0,0.0,0.0
2024-11-29,10.11,10.52,10.6,10.11,0.0,743985.0,0.0,0.0
2024-12-02,10.6,10.53,11.5,10.38,0.0,882464.0,0.0,0.0
2024-12-03,10.22,9.98,10.3,9.97,0.0,632515.0,0.0,0.0
2024-12-04,9.82,10.05,10.78,9.81,0.0,674840.0,0.0,0.0
2024-12-05,9.83,9.92,9.99,9.71,0.0,391229.0,0.0,0.0
2024-12-06,9.88,10.19,10.43,9.72,0.0,541234.0,0.0,0.0
2024-12-09,10.1,9.99,10.4,9.95,0.0,397395.0,0.0,0.0
2024-12-10,10.37,10.99,10.99,10.21,0.0,1097078.0,0.0,0.0
2024-12-11,10.98,12.09,12.09,10.59,0.0,1545241.0,0.0,0.0
2024-12-12,12.14,11.79,13.17,11.74,0.0,1719984.0,0.0,0.0
2024-12-13,11.68,12.97,12.97,11.46,0.0,1562726.0,0.0,0.0
2024-12-16,13.0,13.06,14.2,12.88,0.0,1671702.0,0.0,0.0
2024-12-17,12.48,11.75,12.65,11.75,0.0,413326.0,0.0,0.0
2024-12-18,10.58,11.15,11.5,10.58,0.0,947696.0,0.0,0.0
2024-12-19,10.9,10.74,11.03,10.34,0.0,715226.0,0.0,0.0
2024-12-20,10.73,10.78,11.05,10.68,0.0,558602.0,0.0,0.0
2024-12-23,10.78,9.77,10.78,9.74,0.0,599119.0,0.0,0.0
2024-12-24,9.77,9.8,9.93,9.45,0.0,453241.0,0.0,0.0
2024-12-25,9.74,9.51,9.75,9.2,0.0,371576.0,0.0,0.0
2024-12-26,9.51,9.9,10.12,9.42,0.0,456746.0,0.0,0.0
2024-12-27,9.93,10.02,10.22,9.82,0.0,430757.0,0.0,0.0
2024-12-30,9.91,9.72,9.91,9.59,0.0,311950.0,0.0,0.0
2024-12-31,9.77,9.96,10.33,9.76,0.0,607646.0,0.0,0.0
2025-01-02,9.94,10.73,10.9,9.89,0.0,968470.0,0.0,0.0
2025-01-03,10.74,9.71,10.74,9.66,0.0,734399.0,0.0,0.0
2025-01-06,9.2,8.74,9.2,8.74,0.0,483992.0,0.0,0.0
2025-01-07,8.58,8.88,8.97,8.5,0.0,351580.0,0.0,0.0
2025-01-08,8.78,9.02,9.19,8.64,0.0,384141.0,0.0,0.0
2025-01-09,8.92,9.1,9.19,8.81,0.0,333464.0,0.0,0.0
2025-01-10,9.0,8.51,9.02,8.43,0.0,308604.0,0.0,0.0
2025-01-13,8.43,8.67,8.78,8.0,0.0,285257.0,0.0,0.0
2025-01-14,8.82,9.03,9.09,8.77,0.0,377130.0,0.0,0.0
2025-01-15,8.98,9.04,9.41,8.95,0.0,393755.0,0.0,0.0
2025-01-16,9.09,9.2,9.36,9.0,0.0,390056.0,0.0,0.0
2025-01-17,9.15,9.03,9.29,8.98,0.0,246305.0,0.0,0.0
2025-01-20,9.04,9.18,9.34,8.85,0.0,379526.0,0.0,0.0
2025-01-21,9.1,9.02,9.22,8.92,0.0,236829.0,0.0,0.0
2025-01-22,8.95,8.71,8.95,8.68,0.0,242564.0,0.0,0.0
2025-01-23,8.8,8.57,8.89,8.56,0.0,232927.0,0.0,0.0
2025-01-24,8.62,8.61,8.68,8.46,0.0,220826.0,0.0,0.0
2025-01-27,8.66,8.39,8.74,8.38,0.0,162202.0,0.0,0.0
2025-02-05,8.39,8.38,8.49,8.3,0.0,175407.0,0.0,0.0
2025-02-06,8.39,8.51,8.51,8.21,0.0,245157.0,0.0,0.0
2025-02-07,8.51,8.65,8.74,8.44,0.0,290045.0,0.0,0.0
2025-02-10,8.67,9.01,9.02,8.64,0.0,372259.0,0.0,0.0
2025-02-11,9.1,8.91,9.1,8.84,0.0,271079.0,0.0,0.0
2025-02-12,8.93,8.95,9.01,8.86,0.0,229400.0,0.0,0.0
2025-02-13,8.96,9.05,9.2,8.89,0.0,351510.0,0.0,0.0
2025-02-14,9.0,8.96,9.15,8.91,0.0,260180.0,0.0,0.0
2025-02-17,8.91,9.03,9.08,8.86,0.0,244191.0,0.0,0.0
2025-02-18,8.98,8.61,9.02,8.59,0.0,255467.0,0.0,0.0
2025-02-19,8.6,8.71,8.71,8.53,0.0,173785.0,0.0,0.0
2025-02-20,8.71,9.06,9.22,8.69,0.0,485381.0,0.0,0.0
2025-02-21,9.0,8.94,9.03,8.82,0.0,283529.0,0.0,0.0
2025-02-24,8.88,9.14,9.25,8.83,0.0,348058.0,0.0,0.0
2025-02-25,9.04,9.09,9.3,9.01,0.0,350990.0,0.0,0.0
2025-02-26,9.18,9.19,9.27,9.06,0.0,251232.0,0.0,0.0
2025-02-27,9.19,9.62,9.8,9.16,0.0,802854.0,0.0,0.0
2025-02-28,9.68,9.72,10.25,9.51,0.0,824455.0,0.0,0.0
2025-03-03,9.63,9.73,10.0,9.42,0.0,598789.0,0.0,0.0
2025-03-04,9.58,9.4,9.74,9.36,0.0,379169.0,0.0,0.0
2025-03-05,9.4,9.24,9.4,9.08,0.0,359490.0,0.0,0.0
2025-03-06,9.25,9.45,9.49,9.14,0.0,382265.0,0.0,0.0
2025-03-07,9.4,9.53,9.73,9.3,0.0,409649.0,0.0,0.0
2025-03-10,9.42,9.54,9.67,9.35,0.0,276630.0,0.0,0.0
2025-03-11,9.45,9.81,9.97,9.38,0.0,480407.0,0.0,0.0
2025-03-12,9.76,9.64,9.88,9.62,0.0,378970.0,0.0,0.0
2025-03-13,9.6,9.56,9.68,9.41,0.0,248922.0,0.0,0.0
2025-03-14,9.6,9.89,9.98,9.6,0.0,536495.0,0.0,0.0
2025-03-17,10.07,9.87,10.25,9.8,0.0,525569.0,0.0,0.0
2025-03-18,9.88,9.85,9.98,9.75,0.0,312659.0,0.0,0.0
2025-03-19,9.8,9.71,9.88,9.63,0.0,257033.0,0.0,0.0
2025-03-20,9.66,9.57,9.77,9.55,0.0,213243.0,0.0,0.0
2025-03-21,9.55,9.74,9.8,9.39,0.0,276647.0,0.0,0.0
2025-03-24,9.7,10.1,10.51,9.67,0.0,734711.0,0.0,0.0
2025-03-25,9.9,9.97,10.2,9.65,0.0,488740.0,0.0,0.0
2025-03-26,9.8,9.87,10.07,9.7,0.0,311208.0,0.0,0.0
