tradeDate,open,close,high,low,amount,volume,turnoverRate,changePct
2024-09-27,4.69,4.74,4.81,4.62,0.0,745603.0,0.0,0.0
2024-09-30,4.92,5.19,5.2,4.83,0.0,1227985.0,0.0,0.0
2024-10-08,5.74,5.44,5.74,5.1,0.0,1343341.0,0.0,0.0
2024-10-09,5.3,4.91,5.3,4.91,0.0,824522.0,0.0,0.0
2024-10-10,5.0,4.99,5.1,4.92,0.0,560778.0,0.0,0.0
2024-10-11,4.99,4.77,4.99,4.74,0.0,434007.0,0.0,0.0
2024-10-14,4.79,4.84,4.87,4.72,0.0,360187.0,0.0,0.0
2024-10-15,4.82,4.74,4.85,4.74,0.0,320117.0,0.0,0.0
2024-10-16,4.67,4.74,4.78,4.65,0.0,313618.0,0.0,0.0
2024-10-17,4.76,4.66,4.79,4.66,0.0,278916.0,0.0,0.0
2024-10-18,4.64,4.77,4.81,4.63,0.0,489829.0,0.0,0.0
2024-10-21,4.78,4.75,4.81,4.73,0.0,435497.0,0.0,0.0
2024-10-22,4.74,4.82,4.83,4.73,0.0,537658.0,0.0,0.0
2024-10-23,4.83,4.85,4.88,4.8,0.0,363400.0,0.0,0.0
2024-10-24,4.81,4.8,4.84,4.77,0.0,263678.0,0.0,0.0
2024-10-25,4.8,4.85,4.86,4.78,0.0,356857.0,0.0,0.0
2024-10-28,4.85,5.0,5.01,4.83,0.0,446662.0,0.0,0.0
2024-10-29,5.01,4.87,5.04,4.84,0.0,468000.0,0.0,0.0
2024-10-30,4.75,4.69,4.76,4.65,0.0,704561.0,0.0,0.0
2024-10-31,4.72,4.69,4.73,4.66,0.0,470877.0,0.0,0.0
2024-11-01,4.67,4.59,4.68,4.57,0.0,520040.0,0.0,0.0
2024-11-04,4.6,4.66,4.66,4.59,0.0,331498.0,0.0,0.0
2024-11-05,4.65,4.76,4.76,4.65,0.0,512291.0,0.0,0.0
2024-11-06,4.75,4.76,4.8,4.73,0.0,466966.0,0.0,0.0
2024-11-07,4.74,4.91,4.91,4.72,0.0,638760.0,0.0,0.0
2024-11-08,4.94,4.82,4.97,4.8,0.0,697204.0,0.0,0.0
