tradeDate,open,close,high,low,amount,volume,turnoverRate,changePct
2024-09-27,2.54,2.6,2.69,2.48,0.0,620525.0,0.0,0.0
2024-09-30,2.68,2.82,2.83,2.62,0.0,694995.0,0.0,0.0
2024-10-08,3.06,2.85,3.08,2.75,0.0,908959.0,0.0,0.0
2024-10-09,2.8,2.57,2.81,2.57,0.0,574358.0,0.0,0.0
2024-10-10,2.57,2.55,2.62,2.49,0.0,362442.0,0.0,0.0
2024-10-11,2.55,2.55,2.57,2.51,0.0,272914.0,0.0,0.0
2024-10-14,2.58,2.57,2.6,2.51,0.0,257792.0,0.0,0.0
2024-10-15,2.58,2.5,2.58,2.49,0.0,294289.0,0.0,0.0
2024-10-16,2.49,2.75,2.75,2.47,0.0,747461.0,0.0,0.0
2024-10-17,2.73,2.64,2.73,2.63,0.0,921922.0,0.0,0.0
2024-10-18,2.64,2.61,2.66,2.55,0.0,638428.0,0.0,0.0
2024-10-21,2.61,2.68,2.72,2.59,0.0,563008.0,0.0,0.0
2024-10-22,2.67,2.7,2.72,2.66,0.0,350953.0,0.0,0.0
2024-10-23,2.69,2.72,2.77,2.68,0.0,307325.0,0.0,0.0
2024-10-24,2.71,2.83,2.99,2.68,0.0,937895.0,0.0,0.0
2024-10-25,2.84,2.95,3.04,2.84,0.0,894585.0,0.0,0.0
2024-10-28,3.1,3.25,3.25,3.08,0.0,1286765.0,0.0,0.0
2024-10-29,3.25,3.05,3.27,3.03,0.0,1504400.0,0.0,0.0
2024-10-30,2.97,2.96,3.03,2.9,0.0,768951.0,0.0,0.0
2024-10-31,2.99,3.14,3.24,2.96,0.0,1036616.0,0.0,0.0
2024-11-01,3.09,2.97,3.14,2.96,0.0,633378.0,0.0,0.0
2024-11-04,2.95,3.0,3.01,2.92,0.0,407147.0,0.0,0.0
2024-11-05,2.96,3.06,3.09,2.96,0.0,709452.0,0.0,0.0
2024-11-06,3.07,3.13,3.25,3.03,0.0,842347.0,0.0,0.0
2024-11-07,3.14,3.3,3.38,3.14,0.0,1097967.0,0.0,0.0
2024-11-08,3.27,3.16,3.34,3.13,0.0,1000559.0,0.0,0.0
2024-11-11,3.14,3.15,3.17,3.08,0.0,520027.0,0.0,0.0
2024-11-12,3.15,3.06,3.16,3.05,0.0,488122.0,0.0,0.0
2024-11-13,3.08,3.05,3.09,2.98,0.0,354740.0,0.0,0.0
2024-11-14,3.06,2.98,3.07,2.98,0.0,306302.0,0.0,0.0
2024-11-15,3.0,2.91,3.02,2.89,0.0,369467.0,0.0,0.0
2024-11-18,2.91,2.79,2.94,2.76,0.0,423023.0,0.0,0.0
2024-11-19,2.8,2.85,2.86,2.76,0.0,336975.0,0.0,0.0
