tradeDate,open,close,high,low,amount,volume,turnoverRate,changePct
2024-09-27,4.06,4.15,4.16,4.0,0.0,492307.0,0.0,0.0
2024-09-30,4.25,4.49,4.5,4.1,0.0,664769.0,0.0,0.0
2024-10-08,4.9,4.53,4.9,4.37,0.0,646361.0,0.0,0.0
2024-10-09,4.43,4.08,4.43,4.08,0.0,363678.0,0.0,0.0
2024-10-10,4.08,4.13,4.22,4.05,0.0,210234.0,0.0,0.0
2024-10-11,4.16,4.14,4.33,4.12,0.0,246734.0,0.0,0.0
2024-10-14,4.2,4.25,4.25,4.15,0.0,159002.0,0.0,0.0
2024-10-15,4.23,4.36,4.58,4.17,0.0,338613.0,0.0,0.0
2024-10-16,4.28,4.45,4.55,4.26,0.0,281941.0,0.0,0.0
2024-10-17,4.43,4.38,4.48,4.33,0.0,192433.0,0.0,0.0
2024-10-18,4.45,4.46,4.48,4.38,0.0,210130.0,0.0,0.0
2024-10-21,4.46,4.42,4.47,4.3,0.0,248374.0,0.0,0.0
2024-10-22,4.86,4.49,4.86,4.49,0.0,410449.0,0.0,0.0
2024-10-23,4.43,4.57,4.75,4.43,0.0,321632.0,0.0,0.0
2024-10-24,4.58,5.03,5.03,4.54,0.0,502040.0,0.0,0.0
2024-10-25,5.12,5.21,5.5,5.11,0.0,853639.0,0.0,0.0
2024-10-28,5.22,5.73,5.73,5.09,0.0,683816.0,0.0,0.0
2024-10-29,5.85,6.3,6.3,5.74,0.0,1141650.0,0.0,0.0
2024-10-30,6.1,5.79,6.29,5.67,0.0,837858.0,0.0,0.0
2024-10-31,5.58,6.03,6.36,5.36,0.0,1134691.0,0.0,0.0
2024-11-01,5.8,5.43,5.8,5.43,0.0,576734.0,0.0,0.0
2024-11-04,4.98,5.11,5.26,4.98,0.0,485793.0,0.0,0.0
2024-11-05,5.19,5.15,5.25,5.1,0.0,402527.0,0.0,0.0
2024-11-06,5.15,5.08,5.24,5.06,0.0,379301.0,0.0,0.0
2024-11-07,5.08,5.3,5.37,5.02,0.0,435975.0,0.0,0.0
2024-11-08,5.39,5.22,5.44,5.18,0.0,341229.0,0.0,0.0
2024-11-11,5.67,5.74,5.74,5.33,0.0,454301.0,0.0,0.0
2024-11-12,6.0,5.75,6.09,5.67,0.0,796193.0,0.0,0.0
2024-11-13,5.71,5.53,5.73,5.31,0.0,472567.0,0.0,0.0
2024-11-14,5.45,5.24,5.51,5.22,0.0,286158.0,0.0,0.0
2024-11-15,5.25,5.05,5.32,5.03,0.0,269407.0,0.0,0.0
2024-11-18,5.06,4.9,5.15,4.84,0.0,227568.0,0.0,0.0
2024-11-19,4.95,5.0,5.0,4.83,0.0,169147.0,0.0,0.0
2024-11-20,5.01,5.08,5.08,4.95,0.0,166313.0,0.0,0.0
2024-11-21,5.06,5.02,5.11,4.97,0.0,155522.0,0.0,0.0
2024-11-22,5.04,4.92,5.2,4.91,0.0,289336.0,0.0,0.0
2024-11-25,4.95,5.05,5.05,4.81,0.0,227469.0,0.0,0.0
2024-11-26,5.04,4.95,5.15,4.94,0.0,167756.0,0.0,0.0
2024-11-27,4.9,4.91,4.93,4.76,0.0,182386.0,0.0,0.0
2024-11-28,4.9,5.12,5.18,4.88,0.0,294375.0,0.0,0.0
2024-11-29,5.12,5.07,5.13,4.95,0.0,185953.0,0.0,0.0
2024-12-02,5.07,5.2,5.2,5.06,0.0,230476.0,0.0,0.0
2024-12-03,5.19,5.23,5.25,5.15,0.0,200598.0,0.0,0.0
2024-12-04,5.23,5.13,5.28,5.1,0.0,175974.0,0.0,0.0
2024-12-05,5.13,5.22,5.3,5.09,0.0,166041.0,0.0,0.0
2024-12-06,5.19,5.34,5.35,5.19,0.0,223890.0,0.0,0.0
2024-12-09,5.29,5.22,5.35,5.17,0.0,172057.0,0.0,0.0
2024-12-10,5.32,5.18,5.36,5.17,0.0,180646.0,0.0,0.0
2024-12-11,5.16,5.27,5.29,5.13,0.0,175109.0,0.0,0.0
