tradeDate,open,close,high,low,amount,volume,turnoverRate,changePct
2024-09-27,5.57,5.68,5.75,5.52,0.0,107893.0,0.0,0.0
2024-09-30,5.81,6.1,6.16,5.7,0.0,381186.0,0.0,0.0
2024-10-08,6.67,6.39,6.69,6.03,0.0,430894.0,0.0,0.0
2024-10-09,6.24,5.87,6.24,5.86,0.0,222378.0,0.0,0.0
2024-10-10,5.95,5.97,6.1,5.85,0.0,134066.0,0.0,0.0
2024-10-11,5.97,5.87,5.97,5.8,0.0,93180.0,0.0,0.0
2024-10-14,5.9,5.93,5.98,5.81,0.0,92302.0,0.0,0.0
2024-10-15,5.93,5.85,5.96,5.83,0.0,99994.0,0.0,0.0
2024-10-16,5.8,5.73,5.85,5.68,0.0,103554.0,0.0,0.0
2024-10-17,5.76,5.66,5.84,5.66,0.0,97783.0,0.0,0.0
2024-10-18,5.66,5.69,5.74,5.6,0.0,146511.0,0.0,0.0
2024-10-21,5.73,5.63,5.75,5.58,0.0,156334.0,0.0,0.0
2024-10-22,5.63,5.73,5.73,5.63,0.0,102225.0,0.0,0.0
2024-10-23,5.74,5.7,5.83,5.68,0.0,170807.0,0.0,0.0
2024-10-24,5.69,5.65,5.7,5.63,0.0,106605.0,0.0,0.0
2024-10-25,5.67,5.79,5.79,5.65,0.0,156320.0,0.0,0.0
2024-10-28,5.8,5.9,5.92,5.8,0.0,257976.0,0.0,0.0
2024-10-29,5.92,5.74,5.94,5.7,0.0,182707.0,0.0,0.0
2024-10-30,5.72,5.76,5.81,5.68,0.0,128121.0,0.0,0.0
2024-10-31,5.75,5.7,5.78,5.65,0.0,229247.0,0.0,0.0
2024-11-01,5.7,5.6,5.73,5.58,0.0,200486.0,0.0,0.0
2024-11-04,5.6,5.73,5.73,5.58,0.0,128927.0,0.0,0.0
2024-11-05,5.73,5.88,5.92,5.69,0.0,217042.0,0.0,0.0
2024-11-06,5.89,5.96,6.05,5.82,0.0,229388.0,0.0,0.0
2024-11-07,6.04,6.11,6.15,6.02,0.0,266193.0,0.0,0.0
2024-11-08,6.11,5.98,6.15,5.95,0.0,217527.0,0.0,0.0
2024-11-11,6.06,6.2,6.36,6.05,0.0,359733.0,0.0,0.0
2024-11-12,6.18,6.12,6.21,6.07,0.0,178564.0,0.0,0.0
2024-11-13,6.1,6.12,6.18,5.99,0.0,157618.0,0.0,0.0
2024-11-14,6.15,6.1,6.35,6.1,0.0,277006.0,0.0,0.0
2024-11-15,6.08,5.98,6.18,5.95,0.0,180225.0,0.0,0.0
2024-11-18,6.03,5.9,6.05,5.85,0.0,147754.0,0.0,0.0
2024-11-19,5.97,5.97,5.99,5.81,0.0,113170.0,0.0,0.0
2024-11-20,5.94,6.1,6.1,5.93,0.0,130017.0,0.0,0.0
2024-11-21,6.11,6.09,6.14,6.02,0.0,96544.0,0.0,0.0
2024-11-22,6.12,5.91,6.16,5.89,0.0,110082.0,0.0,0.0
2024-11-25,5.91,5.94,5.97,5.84,0.0,99852.0,0.0,0.0
2024-11-26,5.95,6.03,6.19,5.92,0.0,171913.0,0.0,0.0
2024-11-27,6.06,6.09,6.1,5.9,0.0,133593.0,0.0,0.0
2024-11-28,6.11,6.1,6.23,6.09,0.0,136125.0,0.0,0.0
2024-11-29,6.11,6.17,6.18,6.09,0.0,147800.0,0.0,0.0
2024-12-02,6.16,6.28,6.33,6.16,0.0,178074.0,0.0,0.0
2024-12-03,6.29,6.24,6.3,6.18,0.0,136464.0,0.0,0.0
2024-12-04,6.23,6.19,6.28,6.14,0.0,114036.0,0.0,0.0
2024-12-05,6.21,6.24,6.27,6.17,0.0,113683.0,0.0,0.0
2024-12-06,6.32,6.38,6.48,6.27,0.0,352599.0,0.0,0.0
2024-12-09,6.4,6.24,6.42,6.16,0.0,280708.0,0.0,0.0
2024-12-10,6.35,6.37,6.5,6.24,0.0,355441.0,0.0,0.0
2024-12-11,6.35,6.45,6.46,6.33,0.0,208792.0,0.0,0.0
2024-12-12,6.45,6.46,6.5,6.36,0.0,171835.0,0.0,0.0
2024-12-13,6.45,6.35,6.46,6.33,0.0,155394.0,0.0,0.0
2024-12-16,6.39,6.35,6.5,6.31,0.0,133741.0,0.0,0.0
2024-12-17,6.33,6.08,6.33,6.06,0.0,185400.0,0.0,0.0
2024-12-18,6.15,6.13,6.22,6.05,0.0,120754.0,0.0,0.0
2024-12-19,6.07,6.1,6.13,6.02,0.0,124253.0,0.0,0.0
2024-12-20,6.11,6.06,6.13,6.01,0.0,111828.0,0.0,0.0
2024-12-23,6.06,6.12,6.42,5.84,0.0,398209.0,0.0,0.0
2024-12-24,6.0,6.29,6.33,5.98,0.0,454765.0,0.0,0.0
2024-12-25,6.28,6.38,6.48,6.1,0.0,415427.0,0.0,0.0
2024-12-26,6.31,6.56,6.68,6.28,0.0,450928.0,0.0,0.0
2024-12-27,6.54,6.65,6.75,6.5,0.0,519501.0,0.0,0.0
2024-12-30,6.83,6.53,6.9,6.48,0.0,465606.0,0.0,0.0
2024-12-31,6.61,6.9,7.18,6.56,0.0,821293.0,0.0,0.0
2025-01-02,6.94,6.8,7.15,6.62,0.0,697314.0,0.0,0.0
2025-01-03,6.6,7.48,7.48,6.46,0.0,870109.0,0.0,0.0
2025-01-06,7.55,7.6,7.9,7.2,0.0,1197352.0,0.0,0.0
2025-01-07,7.5,7.73,8.2,7.39,0.0,1015705.0,0.0,0.0
2025-01-08,7.87,7.63,8.15,7.53,0.0,1019079.0,0.0,0.0
2025-01-09,7.4,7.06,7.72,7.0,0.0,1052145.0,0.0,0.0
2025-01-10,7.24,6.55,7.36,6.51,0.0,922525.0,0.0,0.0
2025-01-13,6.44,6.31,6.57,6.24,0.0,544138.0,0.0,0.0
2025-01-14,6.34,6.56,6.58,6.31,0.0,569210.0,0.0,0.0
2025-01-15,6.5,6.28,6.5,6.24,0.0,496642.0,0.0,0.0
2025-01-16,6.31,6.4,6.56,6.3,0.0,439337.0,0.0,0.0
2025-01-17,6.36,6.31,6.36,6.16,0.0,336131.0,0.0,0.0
2025-01-20,6.38,6.4,6.49,6.32,0.0,344213.0,0.0,0.0
2025-01-21,6.49,6.52,6.68,6.38,0.0,445097.0,0.0,0.0
2025-01-22,6.48,6.59,6.68,6.43,0.0,386648.0,0.0,0.0
2025-01-23,6.61,6.38,6.72,6.37,0.0,428287.0,0.0,0.0
2025-01-24,6.35,6.52,6.59,6.29,0.0,322445.0,0.0,0.0
2025-01-27,6.46,6.28,6.51,6.26,0.0,250891.0,0.0,0.0
2025-02-05,6.32,6.2,6.33,6.12,0.0,230258.0,0.0,0.0
2025-02-06,6.18,6.38,6.42,6.15,0.0,283948.0,0.0,0.0
2025-02-07,6.34,6.37,6.47,6.29,0.0,316869.0,0.0,0.0
2025-02-10,6.37,6.42,6.44,6.35,0.0,218280.0,0.0,0.0
2025-02-11,6.39,6.49,6.52,6.37,0.0,263776.0,0.0,0.0
2025-02-12,6.45,6.51,6.54,6.41,0.0,217151.0,0.0,0.0
2025-02-13,6.48,6.46,6.6,6.42,0.0,236902.0,0.0,0.0
2025-02-14,6.45,6.35,6.47,6.31,0.0,206033.0,0.0,0.0
2025-02-17,6.34,6.42,6.46,6.32,0.0,153041.0,0.0,0.0
2025-02-18,6.42,6.19,6.42,6.16,0.0,178216.0,0.0,0.0
2025-02-19,6.19,6.27,6.33,6.17,0.0,148582.0,0.0,0.0
2025-02-20,6.24,6.42,6.46,6.24,0.0,233963.0,0.0,0.0
2025-02-21,6.41,6.44,6.55,6.38,0.0,242694.0,0.0,0.0
2025-02-24,6.44,6.38,6.48,6.33,0.0,185857.0,0.0,0.0
2025-02-25,6.34,6.3,6.38,6.29,0.0,124547.0,0.0,0.0
2025-02-26,6.33,6.37,6.39,6.3,0.0,112571.0,0.0,0.0
2025-02-27,6.37,6.61,6.72,6.27,0.0,546552.0,0.0,0.0
2025-02-28,6.55,6.66,6.82,6.55,0.0,526931.0,0.0,0.0
2025-03-03,6.66,6.63,6.91,6.56,0.0,389364.0,0.0,0.0
2025-03-04,6.6,6.69,6.69,6.52,0.0,267550.0,0.0,0.0
2025-03-05,6.66,6.57,6.68,6.53,0.0,225962.0,0.0,0.0
2025-03-06,6.56,6.58,6.62,6.47,0.0,265771.0,0.0,0.0
2025-03-07,6.56,6.85,6.88,6.56,0.0,520129.0,0.0,0.0
2025-03-10,6.85,6.75,6.85,6.69,0.0,295266.0,0.0,0.0
2025-03-11,6.69,6.69,6.71,6.6,0.0,189710.0,0.0,0.0
2025-03-12,6.69,6.65,6.7,6.63,0.0,184451.0,0.0,0.0
2025-03-13,6.69,6.82,6.91,6.58,0.0,408603.0,0.0,0.0
2025-03-14,6.93,6.95,7.23,6.93,0.0,542136.0,0.0,0.0
2025-03-17,7.08,7.15,7.36,7.07,0.0,477029.0,0.0,0.0
2025-03-18,7.1,7.15,7.2,7.0,0.0,355341.0,0.0,0.0
2025-03-19,7.1,7.29,7.49,7.03,0.0,517651.0,0.0,0.0
2025-03-20,7.28,7.54,7.65,7.17,0.0,659428.0,0.0,0.0
2025-03-21,7.63,8.29,8.29,7.61,0.0,1361530.0,0.0,0.0
2025-03-24,8.77,8.78,9.12,8.37,0.0,2076760.0,0.0,0.0
2025-03-25,8.27,8.3,8.98,7.99,0.0,1452432.0,0.0,0.0
2025-03-26,8.0,8.07,8.35,7.77,0.0,1269433.0,0.0,0.0
2025-03-27,8.1,7.73,8.25,7.49,0.0,1088740.0,0.0,0.0
2025-03-28,7.61,8.1,8.5,7.51,0.0,1650091.0,0.0,0.0
2025-03-31,7.7,7.29,7.78,7.29,0.0,646540.0,0.0,0.0
2025-04-01,7.08,6.94,7.32,6.91,0.0,1020177.0,0.0,0.0
2025-04-02,6.89,6.92,6.94,6.82,0.0,497109.0,0.0,0.0
2025-04-03,6.82,6.83,7.06,6.8,0.0,460950.0,0.0,0.0
2025-04-07,6.28,6.15,6.38,6.15,0.0,307663.0,0.0,0.0
2025-04-08,6.0,6.0,6.16,5.71,0.0,597613.0,0.0,0.0
2025-04-09,5.84,6.1,6.17,5.53,0.0,512601.0,0.0,0.0
2025-04-10,6.23,6.18,6.33,6.15,0.0,410808.0,0.0,0.0
2025-04-11,6.11,6.08,6.2,6.08,0.0,322978.0,0.0,0.0
2025-04-14,6.13,6.31,6.42,6.13,0.0,385052.0,0.0,0.0
2025-04-15,6.33,6.28,6.44,6.24,0.0,321843.0,0.0,0.0
2025-04-16,6.26,6.11,6.29,6.03,0.0,318991.0,0.0,0.0
2025-04-17,6.07,6.11,6.24,6.06,0.0,195420.0,0.0,0.0
2025-04-18,6.11,6.26,6.32,6.09,0.0,384791.0,0.0,0.0
2025-04-21,6.18,6.32,6.34,6.12,0.0,296750.0,0.0,0.0
2025-04-22,6.28,6.27,6.39,6.23,0.0,196096.0,0.0,0.0
2025-04-23,6.32,6.34,6.42,6.27,0.0,369340.0,0.0,0.0
2025-04-24,6.24,6.06,6.24,5.98,0.0,533647.0,0.0,0.0
2025-04-25,6.07,6.08,6.12,6.03,0.0,178192.0,0.0,0.0
2025-04-28,6.1,6.0,6.12,5.99,0.0,160016.0,0.0,0.0
2025-04-29,6.01,5.99,6.06,5.95,0.0,144605.0,0.0,0.0
2025-04-30,6.0,5.97,6.02,5.95,0.0,164486.0,0.0,0.0
2025-05-06,6.01,6.18,6.18,5.96,0.0,295122.0,0.0,0.0
2025-05-07,6.24,6.35,6.37,6.18,0.0,381900.0,0.0,0.0
2025-05-08,6.32,6.37,6.4,6.3,0.0,258739.0,0.0,0.0
2025-05-09,6.36,6.26,6.39,6.23,0.0,173965.0,0.0,0.0
2025-05-12,6.3,6.34,6.43,6.3,0.0,219124.0,0.0,0.0
2025-05-13,6.42,6.3,6.45,6.29,0.0,171559.0,0.0,0.0
2025-05-14,6.3,6.3,6.33,6.24,0.0,165889.0,0.0,0.0
2025-05-15,6.29,6.19,6.3,6.17,0.0,148208.0,0.0,0.0
2025-05-16,6.18,6.18,6.29,6.16,0.0,146044.0,0.0,0.0
2025-05-19,6.16,6.27,6.27,6.14,0.0,134350.0,0.0,0.0
2025-05-20,6.26,6.37,6.45,6.25,0.0,255411.0,0.0,0.0
2025-05-21,6.32,6.31,6.36,6.28,0.0,150473.0,0.0,0.0
2025-05-22,6.3,6.19,6.32,6.18,0.0,155020.0,0.0,0.0
2025-05-23,6.16,6.1,6.26,6.08,0.0,157260.0,0.0,0.0
2025-05-26,6.11,6.23,6.24,6.11,0.0,147712.0,0.0,0.0
2025-05-27,6.19,6.17,6.22,6.12,0.0,131851.0,0.0,0.0
2025-05-28,6.16,6.26,6.33,6.16,0.0,214090.0,0.0,0.0
2025-05-29,6.24,6.28,6.33,6.19,0.0,205598.0,0.0,0.0
2025-05-30,6.26,6.31,6.36,6.19,0.0,280190.0,0.0,0.0
2025-06-03,6.26,6.29,6.32,6.23,0.0,156816.0,0.0,0.0
2025-06-04,6.29,6.52,6.58,6.29,0.0,511166.0,0.0,0.0
2025-06-05,6.51,6.56,6.7,6.47,0.0,469432.0,0.0,0.0
2025-06-06,6.55,6.53,6.6,6.51,0.0,217971.0,0.0,0.0
2025-06-09,6.56,6.55,6.6,6.5,0.0,214784.0,0.0,0.0
2025-06-10,6.52,6.49,6.68,6.43,0.0,289469.0,0.0,0.0
2025-06-11,6.55,6.63,6.69,6.53,0.0,278156.0,0.0,0.0
